"","id","sex","trans_group","relocs","homing_bin","homing_prop","track.time","track.daytime","dist_cumul","area","sc","mean_temp","cumul_rain"
"1","af17_1","female","50m",61,0,-0.121840490139111,74.4166666666667,38.4166666666667,18.6825564005922,231.020364826831,-0.412091735616147,24.1941153846154,99.794
"2","af17_10","female","200m",82,0,-0.00357078989106019,137.75,65.75,20.0788426994515,213.286180946881,-0.0356389606594261,24.2726744505495,15.756
"3","af17_11","male","200m",91,1,0.923468840797212,98.0166666666667,50.0166666666667,194.953652148554,1967.1482441334,0.919352573499323,24.3330115384615,15.554
"4","af17_14","female","200m",91,0,-0.00777740253850756,121.75,61.75,120.571066622382,709.856569501815,-0.0130028137816783,24.2127019230769,158.368
"5","af17_15","male","200m",76,1,0.969895918223238,71.7666666666667,35.7666666666667,335.806061534246,3066.37708295135,0.577621823950935,24.1983461538462,142.208
"6","af17_18","female","200m",76,0,0.0349039148900872,120.716666666667,60.7166666666667,102.244741761472,423.690363200934,0.0696765899545698,24.3683076923077,40.804
"7","af17_19","male","200m",44,1,0.971909264485928,65.1833333333333,29.1833333333333,208.188090911027,2094.00713108527,0.921539912016582,24.4934350961538,27.472
"8","af17_20","female","200m",76,0,-0.0848643335867687,120.05,60.05,72.4200257003893,348.545370424901,-0.236242869587942,24.1805128205128,55.348
"9","af17_21","male","200m",59,1,0.943557083245639,70.2,34.2,233.153595435105,2097.42580408857,0.792007891195948,24.1797331730769,29.492
"10","af17_22","female","50m",56,0,-0.31778111062726,73.45,37.45,30.540912859065,317.078711913855,-0.486476199718886,24.0867836538462,46.056
"11","af17_23","male","50m",6,1,0.916031748599684,1.8,1.8,46.6812387101778,544.210799912573,0.954377381751664,24.0040769230769,8.888
"12","af17_24","female","50m",37,1,0.808345251444296,50.1333333333333,26.1333333333333,49.3401445448479,558.631464020649,0.853403581418368,24.1406955128205,20.806
"13","af17_26","male","50m",9,1,0.807327056799893,2.13333333333333,2.13333333333333,40.9008268494903,485.505557978642,0.95631933795242,24.3353269230769,2.424
