id,id_field,tube,well_id,t_conc,cv,species,plate,sex,condition,t_conc_corr
dt19_5,TM05,8,SPL8,677.553,1.944,dt,4,m,back_home,169.38825
dt19_4,TM04,10,SPL10,100.85,0.951,dt,4,m,back_home,25.2125
dt19_6,TF06,12,SPL12,820.043,10.344,dt,4,f,back_home,205.01075
dt19_7,TF07,13,SPL13,229.491,6.003,dt,4,f,back_home,57.37275
dt19_9,TM09,19,SPL18,1381.563,0.992,dt,4,m,back_home,345.39075
dt19_11,TF11,20,SPL19,230.712,0.068,dt,4,f,back_home,57.678
dt19_10,TF10,22,SPL21,301.885,7.561,dt,4,f,back_home,75.47125
dt19_12,TM12,23,SPL22,54.086,9.741,dt,4,m,back_home,13.5215
dt19_13,TF13,28,SPL27,23.376,4.466,dt,4,f,back_home,5.844
dt19_14,TM14,29,SPL28,1850.775,4.821,dt,4,m,back_home,462.69375
dt19_16,TF16,32,SPL30,31.163,5.445,dt,4,f,back_home,7.79075
dt19_15,TM15,33,SPL31,24.915,12.119,dt,4,m,back_home,6.22875
dt19_17,TF17,38,SPL35,180.706,6.396,dt,4,f,back_home,45.1765
dt19_20,TM20,39,SPL36,33.176,10.403,dt,4,m,back_home,8.294
dt19_19,TM19,41,SPL2,1400.489,5.616,dt,5,m,back_home,350.12225
dt19_29,TM29,55,SPL14,1361.814,0.652,dt,5,m,back_home,340.4535
dt19_23,TM23,58,SPL17,76.811,3.802,dt,5,m,back_home,19.20275
dt19_24,TF24,59,SPL18,57.427,3.037,dt,5,f,back_home,14.35675
dt19_25,TF25,60,SPL19,76.473,0.215,dt,5,f,back_home,19.11825
dt19_30,TF30,69,SPL25,46.915,13.033,dt,5,f,back_home,11.72875
dt19_36,TM36,72,SPL28,354.293,10.165,dt,5,m,back_home,88.57325
dt19_32,TF32,79,SPL34,27.49,5.767,dt,5,f,back_home,6.8725
dt19_27,TM27,81,SPL36,25.976,5.264,dt,5,m,back_home,6.494
dt19_33,TF33,83,SPL2,44.678,0.415,dt,6,f,back_home,11.1695
dt19_34,TM34,84,SPL3,300.547,5.244,dt,6,m,back_home,75.13675
dt19_37,TF37,87,SPL6,56.081,4.403,dt,6,f,back_home,14.02025
dt19_38,TM38,88,SPL7,100.835,1.725,dt,6,m,back_home,25.20875
dt19_42,TM42,89,SPL8,62.853,10.808,dt,6,m,back_home,15.71325
dt19_39,TF39,90,SPL9,29.914,30.172,dt,6,f,back_home,7.4785
dt19_43,TM43,96,SPL13,345.786,22.098,dt,6,m,back_home,86.4465
dt19_40,TM40,103,SPL20,157.164,5.647,dt,6,m,back_home,39.291
dt19_45,TM45,104,SPL21,335.444,13.322,dt,6,m,back_home,83.861
dt19_46,TF46,105,SPL22,52.564,8.03,dt,6,f,back_home,13.141
dt19_44,TF44,109,SPL26,294.337,10.653,dt,6,f,back_home,73.58425
dt19_2,TF02,7,SPL29,119.099,15.392,dt,9,f,back_home,29.77475
dt19_1,TF01,1,SPL1,202.256,1.693,dt,4,f,base_01,50.564
dt19_3,TM03,3,SPL3,264.388,8.005,dt,4,m,base_01,66.097
dt19_4,TM04,4,SPL4,96.808,32.732,dt,4,m,base_01,24.202
dt19_5,TM05,5,SPL5,74.853,19.478,dt,4,m,base_01,18.71325
dt19_6,TF06,6,SPL6,113.456,11.049,dt,4,f,base_01,28.364
dt19_7,TF07,9,SPL9,74.7,30.966,dt,4,f,base_01,18.675
dt19_11,TF11,15,SPL14,66.404,13.324,dt,4,f,base_01,16.601
dt19_9,TM09,16,SPL15,436.245,3.623,dt,4,m,base_01,109.06125
dt19_10,TF10,17,SPL16,470.127,8.235,dt,4,f,base_01,117.53175
dt19_12,TM12,18,SPL17,856.938,11.915,dt,4,m,base_01,214.2345
dt19_8,TM08,21,SPL20,834.183,15.707,dt,4,m,base_01,208.54575
dt19_13,TF13,24,SPL23,74.348,8.844,dt,4,f,base_01,18.587
dt19_14,TM14,25,SPL24,424.555,8.088,dt,4,m,base_01,106.13875
dt19_15,TM15,26,SPL25,148.462,3.691,dt,4,m,base_01,37.1155
dt19_16,TF16,27,SPL26,49.435,3.398,dt,4,f,base_01,12.35875
dt19_17,TF17,30,SPL29,42.689,2.808,dt,4,f,base_01,10.67225
dt19_19,TM19,34,SPL32,615.446,3.01,dt,4,m,base_01,153.8615
dt19_20,TM20,35,SPL33,73.4,5.791,dt,4,m,base_01,18.35
dt19_22,TF22,37,SPL34,18.978,20.214,dt,4,f,base_01,4.7445
dt19_23,TM23,42,SPL3,1004.017,2.028,dt,5,m,base_01,251.00425
dt19_24,TF24,43,SPL4,645.75,16.136,dt,5,f,base_01,161.4375
dt19_25,TF25,44,SPL5,51.614,24.477,dt,5,f,base_01,12.9035
dt19_27,TM27,46,SPL6,46.268,21.26,dt,5,m,base_01,11.567
dt19_29,TM29,48,SPL8,1818.585,?????,dt,5,m,base_01,454.64625
dt19_30,TF30,49,SPL9,77.67,11.669,dt,5,f,base_01,19.4175
