"","id","dt","x_utm","y_utm","sex"
"1","af17_1",2017-01-30 15:49:00,313943.300083706,446704.814161698,"female"
"2","af17_1",2017-01-30 16:04:00,313943.328089587,446704.739888757,"female"
"3","af17_1",2017-01-30 16:19:00,313943.328089587,446704.739888757,"female"
"4","af17_1",2017-01-30 16:34:00,313943.06718472,446705.541567949,"female"
"5","af17_1",2017-01-30 17:29:00,313939.809756467,446707.103033756,"female"
"6","af17_1",2017-01-30 18:30:00,313937.995274568,446707.843806593,"female"
"7","af17_1",2017-01-31 07:25:00,313937.463554546,446708.757519411,"female"
"8","af17_1",2017-01-31 08:00:00,313937.456314174,446708.75607272,"female"
"9","af17_1",2017-01-31 08:33:00,313937.457402118,446708.754329487,"female"
"10","af17_1",2017-01-31 09:06:00,313937.622479422,446708.168918118,"female"
"11","af17_1",2017-01-31 09:37:00,313937.614703498,446708.171574139,"female"
"12","af17_1",2017-01-31 10:06:00,313937.614326584,446708.171833714,"female"
"13","af17_1",2017-01-31 10:47:00,313937.925369817,446708.383242081,"female"
"14","af17_1",2017-01-31 11:24:00,313937.924436869,446708.38387174,"female"
"15","af17_1",2017-01-31 12:02:00,313937.924614624,446708.384281627,"female"
"16","af17_1",2017-01-31 13:03:00,313937.923340154,446708.38384852,"female"
"17","af17_1",2017-01-31 13:45:00,313937.863840225,446708.458690783,"female"
"18","af17_1",2017-01-31 14:41:00,313937.861304399,446708.458398445,"female"
"19","af17_1",2017-01-31 15:14:00,313937.950957465,446708.434223014,"female"
"20","af17_1",2017-01-31 16:07:00,313937.944689569,446708.429354101,"female"
"21","af17_1",2017-01-31 16:44:00,313937.845002227,446708.051315377,"female"
"22","af17_1",2017-01-31 17:22:00,313937.698242225,446708.266873159,"female"
"23","af17_1",2017-01-31 19:00:00,313938.001755369,446708.211561627,"female"
"24","af17_1",2017-02-01 07:15:00,313936.036031476,446707.894430858,"female"
"25","af17_1",2017-02-01 08:06:00,313936.03539288,446707.894966569,"female"
"26","af17_1",2017-02-01 08:30:00,313935.964746108,446707.812402328,"female"
"27","af17_1",2017-02-01 09:07:00,313935.993118557,446707.840593124,"female"
"28","af17_1",2017-02-01 09:40:00,313935.991116846,446707.835354729,"female"
"29","af17_1",2017-02-01 10:26:00,313934.774423333,446705.713177845,"female"
"30","af17_1",2017-02-01 11:08:00,313934.773086694,446705.713646489,"female"
"31","af17_1",2017-02-01 11:51:00,313934.761833857,446705.711950407,"female"
"32","af17_1",2017-02-01 12:30:00,313934.76958701,446705.71348883,"female"
"33","af17_1",2017-02-01 13:34:00,313933.837947313,446704.97894172,"female"
"34","af17_1",2017-02-01 14:09:00,313933.834100518,446704.98291223,"female"
"35","af17_1",2017-02-01 14:40:00,313933.835832229,446704.982007527,"female"
"36","af17_1",2017-02-01 15:35:00,313933.832586751,446704.980639101,"female"
"37","af17_1",2017-02-01 16:30:00,313933.833552117,446704.981003149,"female"
"38","af17_1",2017-02-01 17:14:00,313933.834228103,446704.981001755,"female"
"39","af17_1",2017-02-01 17:58:00,313933.831967398,446704.977406471,"female"
"40","af17_1",2017-02-01 19:00:00,313932.99593631,446704.83886523,"female"
"41","af17_1",2017-02-02 07:37:00,313931.086385642,446705.812070416,"female"
"42","af17_1",2017-02-02 08:12:00,313931.085025804,446705.81304096,"female"
"43","af17_1",2017-02-02 08:43:00,313931.085001938,446705.813445728,"female"
"44","af17_1",2017-02-02 09:18:00,313931.084981612,446705.813234267,"female"
"45","af17_1",2017-02-02 09:50:00,313931.084692018,446705.810342143,"female"
"46","af17_1",2017-02-02 10:23:00,313931.085770504,446705.81187219,"female"
"47","af17_1",2017-02-02 11:00:00,313931.08591215,446705.812874196,"female"
"48","af17_1",2017-02-02 11:34:00,313931.085069235,446705.811788962,"female"
"49","af17_1",2017-02-02 12:52:00,313931.086539489,446705.812312732,"female"
"50","af17_1",2017-02-02 13:27:00,313931.085286722,446705.812410499,"female"
"51","af17_1",2017-02-02 13:52:00,313931.085111839,446705.812210583,"female"
"52","af17_1",2017-02-02 14:22:00,313931.084994193,446705.812287972,"female"
"53","af17_1",2017-02-02 14:48:00,313931.085492695,446705.812120594,"female"
"54","af17_1",2017-02-02 15:28:00,313931.083603878,446705.812914331,"female"
"55","af17_1",2017-02-02 16:15:00,313930.984515279,446705.880658847,"female"
"56","af17_1",2017-02-02 16:42:00,313931.003234694,446705.856293944,"female"
"57","af17_1",2017-02-02 17:18:00,313930.970585278,446705.870034826,"female"
"58","af17_1",2017-02-02 18:14:00,313930.97655179,446705.869160575,"female"
"59","af17_10",2017-02-07 15:45:00,313978.840124123,446664.473500412,"female"
"60","af17_10",2017-02-07 16:00:00,313978.817139388,446664.402760671,"female"
"61","af17_10",2017-02-07 16:15:00,313978.817139388,446664.402760671,"female"
"62","af17_10",2017-02-07 18:44:00,313976.767845896,446667.788540996,"female"
"63","af17_10",2017-02-08 07:55:00,313976.712979376,446667.74788216,"female"
"64","af17_10",2017-02-08 08:05:00,313971.285619823,446664.843770222,"female"
"65","af17_10",2017-02-08 08:30:00,313976.489491622,446667.788150811,"female"
"66","af17_10",2017-02-08 09:15:00,313976.485363962,446667.775764773,"female"
"67","af17_10",2017-02-08 09:54:00,313976.487853978,446667.789680684,"female"
"68","af17_10",2017-02-08 10:35:00,313976.486035685,446667.778286479,"female"
"69","af17_10",2017-02-08 11:30:00,313976.494333628,446667.781778121,"female"
"70","af17_10",2017-02-08 12:01:00,313976.493751219,446667.781842976,"female"
"71","af17_10",2017-02-08 12:23:00,313976.492676363,446667.781845191,"female"
"72","af17_10",2017-02-08 13:32:00,313976.48529082,446667.780813928,"female"
"73","af17_10",2017-02-08 13:48:00,313976.496312706,446667.777757143,"female"
"74","af17_10",2017-02-08 14:23:00,313976.493613341,446667.780456304,"female"
"75","af17_10",2017-02-08 14:55:00,313976.493368474,446667.780198541,"female"
"76","af17_10",2017-02-08 15:27:00,313976.493125884,446667.780199041,"female"
"77","af17_10",2017-02-08 16:22:00,313973.313351034,446667.120914099,"female"
"78","af17_10",2017-02-08 16:52:00,313973.316075152,446667.19797985,"female"
"79","af17_10",2017-02-08 17:55:00,313973.313496703,446667.191603032,"female"
"80","af17_10",2017-02-08 17:59:00,313973.312460518,446667.172330171,"female"
"81","af17_10",2017-02-08 18:47:00,313973.312343127,446667.195754468,"female"
"82","af17_10",2017-02-09 08:58:00,313971.290664346,446664.849409223,"female"
"83","af17_10",2017-02-09 09:30:00,313971.291092496,446664.849518464,"female"
"84","af17_10",2017-02-09 10:03:00,313971.286103701,446664.849528744,"female"
"85","af17_10",2017-02-09 10:50:00,313971.285169446,446664.842172416,"female"
"86","af17_10",2017-02-09 11:39:00,313971.275139628,446664.847406425,"female"
"87","af17_10",2017-02-09 12:30:00,313971.181988293,446664.770238796,"female"
"88","af17_10",2017-02-09 13:03:00,313971.18407591,446664.768126445,"female"
"89","af17_10",2017-02-09 13:40:00,313971.18407591,446664.768126445,"female"
"90","af17_10",2017-02-09 14:22:00,313971.129514605,446664.282454343,"female"
"91","af17_10",2017-02-09 15:30:00,313971.213679478,446663.509632945,"female"
"92","af17_10",2017-02-09 16:00:00,313971.211880559,446663.51194308,"female"
"93","af17_10",2017-02-09 16:35:00,313971.211882602,446663.512934525,"female"
"94","af17_10",2017-02-09 17:05:00,313971.05621949,446663.622246993,"female"
"95","af17_10",2017-02-09 17:54:00,313971.076447777,446663.646261861,"female"
"96","af17_10",2017-02-09 18:39:00,313971.273928446,446663.69387946,"female"
"97","af17_10",2017-02-10 07:28:00,313970.849250369,446663.147975613,"female"
"98","af17_10",2017-02-10 08:39:00,313971.01074085,446663.158074747,"female"
"99","af17_10",2017-02-10 10:06:00,313970.980876744,446663.145675747,"female"
"100","af17_10",2017-02-10 11:14:00,313970.944505214,446663.149146918,"female"
"101","af17_10",2017-02-10 12:50:00,313971.052085743,446663.133802604,"female"
"102","af17_10",2017-02-10 13:35:00,313971.051691575,446663.135179556,"female"
"103","af17_10",2017-02-10 14:45:00,313971.056630748,446663.123622233,"female"
"104","af17_10",2017-02-10 15:12:00,313971.13269811,446664.271802216,"female"
"105","af17_10",2017-02-10 16:10:00,313971.060953948,446663.111186406,"female"
"106","af17_10",2017-02-10 16:38:00,313971.064861379,446663.111178353,"female"
"107","af17_10",2017-02-10 17:10:00,313971.053897866,446663.107646709,"female"
"108","af17_10",2017-02-10 17:49:00,313971.061082394,446663.115617895,"female"
"109","af17_10",2017-02-10 18:47:00,313971.05943787,446663.120748909,"female"
"110","af17_10",2017-02-11 08:00:00,313971.071749286,446663.121544291,"female"
"111","af17_10",2017-02-11 08:38:00,313971.072036757,446663.125156345,"female"
"112","af17_10",2017-02-11 09:13:00,313971.182248783,446663.084133325,"female"
"113","af17_10",2017-02-11 09:55:00,313971.184343614,446663.08716734,"female"
"114","af17_10",2017-02-11 10:44:00,313971.134168162,446663.067233046,"female"
"115","af17_10",2017-02-11 11:45:00,313971.116596874,446663.061619251,"female"
"116","af17_10",2017-02-11 12:34:00,313971.065614255,446662.859988312,"female"
"117","af17_10",2017-02-11 13:18:00,313971.062417853,446662.852177961,"female"
"118","af17_10",2017-02-11 14:28:00,313969.287383027,446663.905047299,"female"
"119","af17_10",2017-02-11 15:20:00,313969.286976234,446663.907341738,"female"
"120","af17_10",2017-02-11 16:23:00,313969.287551886,446663.905965983,"female"
"121","af17_10",2017-02-11 17:20:00,313969.284868234,446663.903118917,"female"
"122","af17_10",2017-02-11 18:05:00,313969.287677008,446663.897562898,"female"
"123","af17_10",2017-02-11 19:00:00,313969.290915409,446663.896424152,"female"
"124","af17_10",2017-02-12 07:48:00,313969.291686126,446663.895211092,"female"
"125","af17_10",2017-02-12 08:17:00,313969.646610625,446664.35250583,"female"
"126","af17_10",2017-02-12 09:15:00,313969.65337249,446664.350642673,"female"
"127","af17_10",2017-02-12 09:51:00,313969.645957266,446664.353307556,"female"
"128","af17_10",2017-02-12 10:32:00,313969.653651467,446664.350181,"female"
"129","af17_10",2017-02-12 11:13:00,313969.65350935,446664.350348513,"female"
"130","af17_10",2017-02-12 12:24:00,313969.636501308,446664.346554926,"female"
"131","af17_10",2017-02-12 13:20:00,313969.57050574,446664.317823064,"female"
"132","af17_10",2017-02-12 14:26:00,313969.568786496,446664.311034169,"female"
"133","af17_10",2017-02-12 17:11:00,313969.569429856,446664.313164025,"female"
"134","af17_10",2017-02-13 08:09:00,313969.460566227,446664.300761684,"female"
"135","af17_10",2017-02-13 09:07:00,313969.460780463,446664.300640822,"female"
"136","af17_10",2017-02-13 09:30:00,313969.460978784,446664.30077685,"female"
"137","af17_11",2017-02-07 16:08:00,313993.772589765,446675.652799028,"male"
"138","af17_11",2017-02-07 16:23:00,313993.725429938,446675.668122185,"male"
"139","af17_11",2017-02-07 16:38:00,313993.725429938,446675.668122185,"male"
"140","af17_11",2017-02-07 16:53:00,313993.725429938,446675.668122185,"male"
"141","af17_11",2017-02-07 17:08:00,313993.725429938,446675.668122185,"male"
"142","af17_11",2017-02-07 17:23:00,313993.839498717,446675.618024336,"male"
"143","af17_11",2017-02-07 17:38:00,313993.356110487,446675.775086693,"male"
"144","af17_11",2017-02-07 17:53:00,313993.356110487,446675.775086693,"male"
"145","af17_11",2017-02-07 18:08:00,313993.356110487,446675.775086693,"male"
"146","af17_11",2017-02-07 18:24:00,313992.890627845,446676.03847811,"male"
"147","af17_11",2017-02-08 07:45:00,313993.389908338,446677.040592801,"male"
"148","af17_11",2017-02-08 08:21:00,313993.376144558,446677.041567773,"male"
"149","af17_11",2017-02-08 09:24:00,313993.253000071,446688.408512916,"male"
"150","af17_11",2017-02-08 09:47:00,313991.994807326,446692.840913044,"male"
