"","id","dt","x_utm","y_utm"
"1","dt17_1",2017-02-28 08:50:00,313696.608955819,447407.376837995
"2","dt17_1",2017-02-28 14:30:00,313700.187588745,447398.768542044
"3","dt17_1",2017-02-28 18:12:00,313699.536518889,447396.325464133
"4","dt17_1",2017-03-01 11:25:00,313705.948282886,447404.085649823
"5","dt17_1",2017-03-01 16:05:00,313702.934899442,447396.02194233
"6","dt17_10",2017-03-06 08:23:00,313641.08727954,447364.30594604
"7","dt17_10",2017-03-06 12:29:00,313640.897436493,447364.122397743
"8","dt17_10",2017-03-06 18:30:00,313641.006911004,447364.124630952
"9","dt17_10",2017-03-07 09:55:00,313652.184030305,447361.584795762
"10","dt17_10",2017-03-07 16:55:00,313649.547940121,447366.933305048
"11","dt17_10",2017-03-08 10:54:00,313649.652503848,447366.68297955
"12","dt17_10",2017-03-08 15:06:00,313649.744861949,447366.343532873
"13","dt17_11",2017-03-06 17:20:00,313688.72546398,447367.540348704
"14","dt17_11",2017-03-07 10:39:00,313705.161906314,447373.365427732
"15","dt17_11",2017-03-07 17:00:00,313702.808586879,447370.522540358
"16","dt17_11",2017-03-08 08:28:00,313695.837304113,447368.375714343
"17","dt17_11",2017-03-08 11:14:00,313695.213544133,447375.826433362
"18","dt17_11",2017-03-10 18:50:00,313697.818075963,447367.954667185
"19","dt17_11",2017-03-11 10:51:00,313695.819153823,447368.667281467
"20","dt17_11",2017-03-11 15:10:00,313699.226555078,447370.668811365
"21","dt17_11",2017-03-12 09:38:00,313697.389363552,447371.900690323
"22","dt17_11",2017-03-12 11:41:00,313697.469878663,447372.177807072
"23","dt17_11",2017-03-12 15:55:00,313695.27112773,447375.597124052
"24","dt17_12",2017-03-06 18:10:00,313634.274846846,447398.274491559
"25","dt17_12",2017-03-07 09:42:00,313639.388243237,447384.675948614
"26","dt17_12",2017-03-07 16:50:00,313625.208878275,447389.112505979
"27","dt17_12",2017-03-08 10:48:00,313652.488323198,447400.41180478
"28","dt17_12",2017-03-08 14:54:00,313651.566985751,447400.02296582
"29","dt17_13",2017-03-07 13:51:00,313686.328920494,447399.127545071
"30","dt17_13",2017-03-07 17:20:00,313682.290876907,447397.564060594
"31","dt17_13",2017-03-08 11:04:00,313679.253458878,447395.602407885
"32","dt17_13",2017-03-09 13:12:00,313680.27374775,447401.581884766
"33","dt17_13",2017-03-10 11:17:00,313686.219404528,447394.557374753
"34","dt17_13",2017-03-10 18:56:00,313687.336568563,447394.619178208
"35","dt17_13",2017-03-11 10:56:00,313679.519306612,447396.407153614
"36","dt17_13",2017-03-12 09:29:00,313684.721414765,447397.433641891
"37","dt17_13",2017-03-12 15:41:00,313686.44932479,447393.981149348
"38","dt17_14",2017-03-08 09:10:00,313763.860470368,447449.192548467
"39","dt17_14",2017-03-08 16:47:00,313763.768577546,447448.961886146
"40","dt17_14",2017-03-09 12:59:00,313761.701832986,447446.88589343
"41","dt17_14",2017-03-09 17:36:00,313763.684561387,447448.955923747
"42","dt17_14",2017-03-10 09:42:00,313760.665288896,447445.598389224
"43","dt17_14",2017-03-10 15:15:00,313763.738690884,447449.032232599
"44","dt17_15",2017-03-09 17:55:00,313751.375541644,447455.65915235
"45","dt17_15",2017-03-10 09:36:00,313738.918372999,447443.053318834
