"","id","date","time","sex","x","y","year"
"1","Dt001",2009-01-09,1545,"female",313825.316043,447144.993164,2009
"2","Dt001",2011-01-17,1600,"female",313827.932798,447137.730356,2011
"3","Dt001",2011-01-30,1400,"female",313830.335537,447132.77301,2011
"4","Dt001",2011-02-20,950,"female",313825.412354,447148.808922,2011
"5","Dt001",2011-03-02,0,"female",313820.174475,447142.616147,2011
"6","Dt001",2011-03-03,1210,"female",313825.017079,447148.631809,2011
"7","Dt001",2011-03-04,1010,"female",313825.666879,447146.643739,2011
"8","Dt001",2011-03-05,1100,"female",313823.928381,447146.338034,2011
"9","Dt001",2011-03-06,1320,"female",313825.378859,447145.964786,2011
"10","Dt001",2011-03-13,1130,"female",313823.646462,447154.870962,2011
"11","Dt001",2011-05-23,1340,"female",313825.361536,447146.805511,2011
"12","Dt003",2009-01-09,1624,"female",313692.459728,447460.542124,2009
"13","Dt003",2009-01-10,1336,"female",313693.306693,447460.659929,2009
"14","Dt003",2009-01-11,952,"female",313694.641396,447459.584778,2009
"15","Dt003",2009-01-13,1327,"female",313695.308268,447468.379677,2009
"16","Dt003",2009-01-15,1030,"female",313693.407533,447460.533872,2009
"17","Dt003",2009-01-17,1650,"female",313696.305978,447461.010635,2009
"18","Dt003",2009-01-19,1533,"female",313695.273705,447459.467438,2009
"19","Dt003",2009-01-20,1030,"female",313691.220854,447461.700478,2009
"20","Dt003",2009-01-23,1616,"female",313695.098433,447459.533536,2009
"21","Dt003",2009-01-25,0,"female",313696.385617,447460.172323,2009
"22","Dt003",2009-01-27,0,"female",313700.07288,447467.031513,2009
"23","Dt003",2009-01-30,1732,"female",313691.653171,447461.889039,2009
"24","Dt003",2009-01-31,1639,"female",313691.888428,447465.673708,2009
"25","Dt003",2009-02-03,1334,"female",313696.361785,447468.091817,2009
"26","Dt003",2009-02-04,0,"female",313690.589109,447460.759161,2009
"27","Dt003",2009-02-05,1330,"female",313691.513241,447459.920946,2009
"28","Dt003",2009-02-06,0,"female",313692.512588,447460.593987,2009
"29","Dt003",2009-02-07,1150,"female",313696.373746,447459.531007,2009
"30","Dt003",2009-02-09,1430,"female",313693.51076,447461.22091,2009
"31","Dt003",2009-02-10,1310,"female",313693.615409,447460.715487,2009
"32","Dt003",2009-02-13,1649,"female",313690.589109,447460.759161,2009
"33","Dt003",2009-02-14,1320,"female",313693.259009,447460.530605,2009
"34","Dt003",2009-02-16,1256,"female",313695.878991,447458.885545,2009
"35","Dt003",2010-01-21,0,"female",313694.876856,447459.302899,2010
"36","Dt003",2010-01-24,0,"female",313690.858503,447460.853149,2010
"37","Dt003",2010-01-31,0,"female",313691.675578,447466.25449,2010
"38","Dt003",2010-02-17,0,"female",313694.437978,447467.304514,2010
"39","Dt003",2010-02-18,0,"female",313691.507334,447458.130264,2010
"40","Dt003",2010-02-26,0,"female",313694.996283,447457.057307,2010
"41","Dt003",2010-03-06,1515,"female",313694.534373,447461.131933,2010
"42","Dt003",2010-03-09,0,"female",313745.201018,447612.279842,2010
"43","Dt003",2011-01-20,1025,"female",313696.859535,447460.855301,2011
"44","Dt003",2011-01-24,925,"female",313693.486832,447459.36899,2011
"45","Dt003",2011-01-30,1320,"female",313690.338556,447460.42185,2011
"46","Dt003",2011-02-01,1355,"female",313690.266922,447453.152684,2011
"47","Dt003",2011-02-03,1030,"female",313694.702034,447471.171957,2011
"48","Dt003",2011-02-07,1210,"female",313695.193582,447466.681704,2011
"49","Dt003",2011-02-12,1545,"female",313688.27412,447465.087204,2011
"50","Dt003",2011-02-18,1610,"female",313691.00482,447458.618657,2011
"51","Dt003",2011-02-19,1650,"female",313690.391941,447459.710203,2011
"52","Dt003",2011-02-21,1330,"female",313692.806645,447466.919802,2011
"53","Dt003",2011-02-24,1555,"female",313699.042672,447464.646927,2011
"54","Dt003",2011-03-03,1250,"female",313691.65898,447466.365405,2011
"55","Dt003",2011-03-07,1405,"female",313697.440629,447462.261258,2011
"56","Dt003",2011-03-10,1340,"female",313694.825664,447471.185535,2011
"57","Dt003",2011-03-11,1420,"female",313691.600702,447466.300919,2011
"58","Dt003",2011-03-18,1340,"female",313688.066023,447466.164519,2011
"59","Dt003",2011-03-21,1500,"female",313691.230251,447468.340075,2011
"60","Dt003",2011-03-26,1045,"female",313702.365499,447457.346279,2011
"61","Dt003",2011-03-28,1445,"female",313689.715987,447461.010965,2011
"62","Dt003",2011-04-03,1400,"female",313696.63356,447460.897404,2011
"63","Dt003",2011-04-05,1820,"female",313695.122027,447466.717728,2011
"64","Dt003",2011-04-17,1115,"female",313692.541163,447464.734078,2011
"65","Dt003",2011-04-19,1050,"female",313692.655052,447466.388136,2011
"66","Dt003",2011-04-26,1710,"female",313696.154506,447463.756924,2011
"67","Dt003",2011-05-01,1505,"female",313695.421339,447467.001621,2011
"68","Dt003",2011-05-09,1300,"female",313697.617765,447462.121445,2011
"69","Dt003",2011-05-10,0,"female",313693.848772,447464.820802,2011
"70","Dt003",2011-05-11,1210,"female",313691.674088,447466.646217,2011
"71","Dt003",2011-05-13,835,"female",313696.802291,447461.723685,2011
"72","Dt003",2011-05-14,1520,"female",313698.976197,447462.873133,2011
"73","Dt003",2011-05-15,1115,"female",313703.029156,447459.327739,2011
"74","Dt003",2011-05-16,1345,"female",313695.895753,447466.27113,2011
"75","Dt003",2011-05-17,1200,"female",313696.450116,447462.737751,2011
"76","Dt003",2011-05-26,0,"female",313688.934946,447459.862323,2011
"77","Dt003",2011-05-27,1050,"female",313689.308949,447459.940105,2011
"78","Dt003",2011-05-28,0,"female",313688.743394,447459.726499,2011
"79","Dt003",2011-05-29,1505,"female",313689.629655,447459.134935,2011
"80","Dt003",2011-06-04,0,"female",313689.170144,447459.561301,2011
"81","Dt004",2009-01-09,1624,"male",313692.407458,447460.542559,2009
"82","Dt004",2009-01-11,939,"male",313692.744122,447437.18987,2009
"83","Dt004",2009-01-23,1539,"male",313693.259217,447457.041003,2009
"84","Dt004",2009-01-29,1500,"male",313691.267696,447462.390864,2009
"85","Dt004",2009-02-04,1123,"male",313693.223474,447453.444464,2009
"86","Dt004",2009-02-07,1150,"male",313696.373746,447459.531007,2009
"87","Dt004",2009-02-09,1500,"male",313693.594771,447460.957608,2009
"88","Dt004",2009-02-10,1310,"male",313693.468092,447461.031546,2009
"89","Dt004",2009-02-17,1330,"male",313700.728142,447446.330312,2009
"90","Dt005",2009-01-09,1624,"male",313690.517276,447459.456086,2009
"91","Dt005",2009-01-20,1030,"male",313690.420053,447462.311294,2009
"92","Dt005",2009-01-29,1628,"male",313692.205095,447466.638202,2009
"93","Dt005",2009-02-07,1515,"male",313690.823944,447462.661607,2009
"94","Dt005",2009-02-09,1530,"male",313693.425488,447460.873756,2009
"95","Dt005",2009-02-16,1254,"male",313694.223468,447459.615104,2009
"96","Dt005",2009-02-17,1350,"male",313700.985795,447446.342936,2009
"97","Dt005",2010-02-13,0,"male",313699.497616,447433.920572,2010
"98","Dt005",2011-02-03,1410,"male",313691.371795,447462.537255,2011
"99","Dt005",2011-03-13,1155,"male",313691.737901,447465.124231,2011
"100","Dt005",2011-04-05,1822,"male",313695.145887,447466.673786,2011
"101","Dt005",2011-05-01,1500,"male",313688.196011,447466.479429,2011
"102","Dt005",2011-05-10,820,"male",313702.68496,447460.963498,2011
"103","Dt006",2009-01-09,1656,"male",313711.221871,447514.65282,2009
